team,status
Boston Celtics,78.6
New Orleans Pelicans,77.4
Cleveland Cavaliers,77.2
Phoenix Suns,77.0
Atlanta Hawks,76.8
Brooklyn Nets,76.5
Chicago Bulls,76.4
Los Angeles Clippers,76.4
Golden State Warriors,76.3
Miami Heat,76.2
Philadelphia 76ers,76.2
Milwaukee Bucks,76.1
Washington Wizards,76.1
Indiana Pacers,75.9
Sacramento Kings,75.9
New York Knicks,75.8
Minnesota Timberwolves,75.7
Charlotte Hornets,75.6
Dallas Mavericks,75.3
Memphis Grizzlies,75.2
Denver Nuggets,75.1
Portland Trail Blazers,75.1
Los Angeles Lakers,75.0
Toronto Raptors,74.9
Orlando Magic,74.6
Oklahoma City Thunder,74.4
Utah Jazz,74.3
Detroit Pistons,74.2
Houston Rockets,73.7
San Antonio Spurs,73.2
