team,status
Los Angeles Lakers,79.4
Brooklyn Nets,78.2
Phoenix Suns,78.1
Atlanta Hawks,77.7
New York Knicks,77.6
Indiana Pacers,77.2
Milwaukee Bucks,77.1
Philadelphia 76ers,77.0
Boston Celtics,76.9
Golden State Warriors,76.8
Dallas Mavericks,76.7
Los Angeles Clippers,76.7
Portland Trail Blazers,76.7
Miami Heat,76.6
Minnesota Timberwolves,76.5
Denver Nuggets,76.4
Utah Jazz,76.3
Washington Wizards,76.2
Chicago Bulls,75.8
Toronto Raptors,75.7
Detroit Pistons,75.6
Charlotte Hornets,75.5
Cleveland Cavaliers,75.5
New Orleans Pelicans,75.5
Sacramento Kings,75.5
Orlando Magic,75.4
Houston Rockets,75.1
Memphis Grizzlies,75.1
San Antonio Spurs,74.9
Oklahoma City Thunder,74.2
