team,status
Los Angeles Clippers,78.7
Los Angeles Lakers,78.3
Utah Jazz,78.2
Denver Nuggets,78.1
Golden State Warriors,77.7
Brooklyn Nets,77.4
Philadelphia 76ers,77.4
Boston Celtics,77.0
Portland Trail Blazers,77.0
San Antonio Spurs,76.8
Houston Rockets,76.6
Dallas Mavericks,76.4
Milwaukee Bucks,76.4
New Orleans Pelicans,76.4
Sacramento Kings,76.4
Indiana Pacers,76.3
New York Knicks,76.1
Toronto Raptors,76.1
Cleveland Cavaliers,76.0
Atlanta Hawks,75.8
Miami Heat,75.7
Oklahoma City Thunder,75.7
Chicago Bulls,75.5
Detroit Pistons,75.5
Minnesota Timberwolves,75.5
Orlando Magic,75.5
Phoenix Suns,75.1
Charlotte Hornets,75.0
Memphis Grizzlies,74.9
Washington Wizards,74.4
