MATCHUP
MIL vs. CHI
MIL @ OKC
MIL @ UTA
MIL @ LAC
MIL @ MIN
MIL vs. TOR
MIL @ ORL
MIL @ BOS
MIL vs. CLE
MIL vs. MIA
MIL @ HOU
MIL vs. MIN
MIL @ WAS
MIL @ DAL
MIL vs. UTA
MIL @ CHI
MIL vs. POR
MIL vs. CHN
MIL @ MIN
MIL vs. ATL
MIL vs. PHI
MIL @ TOR
MIL vs. TOR
MIL @ TOR
MIL @ TOR
MIL vs. TOR
MIL vs. TOR
MIL vs. BOS
MIL @ BOS
MIL @ BOS
MIL vs. BOS
MIL vs. BOS
MIL @ DET
MIL @ DET
MIL vs. DET
MIL vs. DET
MIL vs. OKC
MIL vs. ATL
MIL vs. BKN
MIL @ PHI
MIL @ BKN
MIL @ ATL
MIL vs. LAC
MIL vs. HOU
MIL vs. CLE
MIL vs. MIA
MIL @ CLE
MIL vs. LAL
MIL vs. PHI
MIL @ MIA
MIL @ NOP
MIL @ SAS
MIL vs. CHA
MIL vs. IND
MIL @ PHX
MIL @ UTA
MIL @ LAL
MIL @ SAC
MIL @ CHI
MIL vs. MIN
MIL vs. BOS
MIL @ IND
MIL @ CHI
MIL vs. ORL
MIL @ DAL
MIL vs. WAS
MIL @ BKN
MIL @ WAS
MIL @ TOR
MIL @ DET
MIL @ OKC
MIL vs. CHA
MIL vs. DAL
MIL @ ORL
MIL @ MEM
MIL vs. MIA
MIL @ ATL
MIL @ WAS
MIL @ HOU
MIL vs. UTA
MIL vs. TOR
MIL vs. ATL
MIL vs. DET
MIL vs. BKN
MIL vs. NYK
MIL @ NYK
MIL @ MIA
MIL @ BOS
MIL vs. NOP
MIL @ DET
MIL @ CLE
MIL @ IND
MIL vs. CLE
MIL @ TOR
MIL vs. GSW
MIL vs. DET
MIL @ NYK
MIL vs. CHI
MIL @ CHA
MIL vs. SAS
MIL vs. PHX
MIL vs. POR
MIL vs. DEN
MIL vs. CHI
MIL vs. MEM
MIL @ DEN
MIL @ LAC
MIL @ GSW
MIL @ POR
MIL vs. SAC
MIL @ BOS
MIL vs. TOR
MIL vs. ORL
MIL @ MIN
MIL vs. PHI
MIL vs. NYK
MIL vs. IND
MIL @ CHA
